id,cow_id,activity,model,observation_time,server_time,local_id
174834,328,0,-50,2018-07-18 15:14:19+01,2018-07-18 23:10:08.12+01,26
174868,328,0,-76,2018-07-18 16:44:19+01,2018-07-18 23:20:06.21+01,26
174869,328,0,-91,2018-07-18 18:14:24+01,2018-07-18 23:20:06.21+01,26
174907,328,0,-94,2018-07-18 19:44:24+01,2018-07-18 23:30:06.23+01,26
174938,328,0,-85,2018-07-18 23:15:20+01,2018-07-18 23:40:07.98+01,26
175229,328,8,-68,2018-07-19 00:45:20+01,2018-07-19 00:50:06.21+01,26
175495,328,148,-60,2018-07-19 02:15:21+01,2018-07-19 02:20:06.18+01,26
175786,328,36,-54,2018-07-19 03:45:22+01,2018-07-19 04:05:07.97+01,26
176040,328,4,-49,2018-07-19 05:15:23+01,2018-07-19 05:25:05.79+01,26
176304,328,106,-38,2018-07-19 06:45:24+01,2018-07-19 06:55:06.47+01,26
176565,328,24,-60,2018-07-19 08:15:26+01,2018-07-19 08:25:06.03+01,26
176830,328,12,-89,2018-07-19 09:45:27+01,2018-07-19 09:55:06.48+01,26
177086,328,2,-100,2018-07-19 11:15:28+01,2018-07-19 11:25:06.76+01,26
177353,328,6,-90,2018-07-19 12:45:30+01,2018-07-19 12:55:06.38+01,26
177622,328,1,-58,2018-07-19 14:15:31+01,2018-07-19 14:25:06.01+01,26
177881,328,22,-24,2018-07-19 15:45:31+01,2018-07-19 15:55:06.5+01,26
178141,328,80,-34,2018-07-19 17:15:31+01,2018-07-19 17:25:05.95+01,26
178426,328,6,-57,2018-07-19 18:45:32+01,2018-07-19 18:55:06.71+01,26
178701,328,34,-61,2018-07-19 20:15:33+01,2018-07-19 20:25:06.32+01,26
178967,328,24,-54,2018-07-19 21:45:34+01,2018-07-19 21:55:06.6+01,26
179233,328,22,-42,2018-07-19 23:15:35+01,2018-07-19 23:25:06.78+01,26
179497,328,3,-24,2018-07-20 00:45:36+01,2018-07-20 00:55:06.35+01,26
179763,328,81,-21,2018-07-20 02:15:37+01,2018-07-20 02:25:06.1+01,26
180039,328,69,-24,2018-07-20 03:45:37+01,2018-07-20 04:05:06.66+01,26
180292,328,27,-27,2018-07-20 05:15:39+01,2018-07-20 05:25:07.35+01,26
180561,328,47,-23,2018-07-20 06:45:39+01,2018-07-20 06:55:06.83+01,26
180824,328,24,-49,2018-07-20 08:15:40+01,2018-07-20 08:25:05.94+01,26
181088,328,4,-86,2018-07-20 09:45:40+01,2018-07-20 09:55:06.77+01,26
181353,328,23,-100,2018-07-20 11:15:41+01,2018-07-20 11:25:06.71+01,26
181620,328,7,-88,2018-07-20 12:45:44+01,2018-07-20 12:55:06.93+01,26
181890,328,16,-56,2018-07-20 14:15:46+01,2018-07-20 14:25:06.71+01,26
182149,328,35,-13,2018-07-20 15:45:48+01,2018-07-20 15:55:06.1+01,26
182417,328,11,-24,2018-07-20 17:15:49+01,2018-07-20 17:25:06.28+01,26
182675,328,40,-45,2018-07-20 18:45:48+01,2018-07-20 18:55:06.33+01,26
182952,328,46,-51,2018-07-20 20:15:49+01,2018-07-20 20:25:06.39+01,26
183220,328,36,-48,2018-07-20 21:45:50+01,2018-07-20 21:55:07.75+01,26
183493,328,41,-27,2018-07-20 23:15:50+01,2018-07-20 23:25:06.31+01,26
183772,328,8,-7,2018-07-21 00:45:51+01,2018-07-21 01:05:05.7+01,26
184025,328,194,7,2018-07-21 02:15:51+01,2018-07-21 02:25:06.48+01,26
184294,328,16,11,2018-07-21 03:45:51+01,2018-07-21 03:55:06.06+01,26
184560,328,27,-4,2018-07-21 05:15:52+01,2018-07-21 05:25:06.2+01,26
184833,328,4,-15,2018-07-21 06:45:53+01,2018-07-21 06:55:06.62+01,26
185100,328,9,-47,2018-07-21 08:15:54+01,2018-07-21 08:25:05.84+01,26
185366,328,19,-55,2018-07-21 09:45:55+01,2018-07-21 09:55:06.5+01,26
185632,328,3,-58,2018-07-21 11:15:56+01,2018-07-21 11:25:06.79+01,26
185897,328,13,-59,2018-07-21 12:45:55+01,2018-07-21 12:55:05.87+01,26
186167,328,27,-29,2018-07-21 14:15:56+01,2018-07-21 14:25:05.78+01,26
186435,328,120,-13,2018-07-21 15:45:56+01,2018-07-21 15:55:06.7+01,26
186701,328,48,-8,2018-07-21 17:15:57+01,2018-07-21 17:25:06.08+01,26
186965,328,59,-12,2018-07-21 18:45:58+01,2018-07-21 18:55:07.28+01,26
187233,328,130,8,2018-07-21 20:15:59+01,2018-07-21 20:25:07.49+01,26
187519,328,5,14,2018-07-21 21:46:00+01,2018-07-21 22:05:07.57+01,26
187775,328,6,17,2018-07-21 23:16:01+01,2018-07-21 23:25:06.57+01,26
188038,328,6,15,2018-07-22 00:46:01+01,2018-07-22 00:55:06.53+01,26
188308,328,185,-10,2018-07-22 02:16:02+01,2018-07-22 02:25:05.87+01,26
188576,328,99,-12,2018-07-22 03:46:03+01,2018-07-22 03:55:06.75+01,26
188846,328,14,-17,2018-07-22 05:16:05+01,2018-07-22 05:25:06.57+01,26
189110,328,12,-13,2018-07-22 06:46:06+01,2018-07-22 06:55:06+01,26
189377,328,59,-22,2018-07-22 08:16:05+01,2018-07-22 08:25:06.78+01,26
189643,328,12,-26,2018-07-22 09:46:06+01,2018-07-22 09:55:06.53+01,26
189906,328,15,-28,2018-07-22 11:16:07+01,2018-07-22 11:25:06.73+01,26
190189,328,28,-31,2018-07-22 12:46:09+01,2018-07-22 13:05:05.97+01,26
190445,328,13,-10,2018-07-22 14:16:09+01,2018-07-22 14:25:05.78+01,26
190710,328,8,7,2018-07-22 15:46:09+01,2018-07-22 15:55:06.76+01,26
190976,328,67,-14,2018-07-22 17:16:10+01,2018-07-22 17:25:07.37+01,26
191236,328,177,-34,2018-07-22 18:46:11+01,2018-07-22 18:55:07.66+01,26
191508,328,43,-31,2018-07-22 20:16:10+01,2018-07-22 20:25:06.23+01,26
191777,328,33,-7,2018-07-22 21:46:12+01,2018-07-22 21:55:07.97+01,26
192044,328,29,21,2018-07-22 23:16:13+01,2018-07-22 23:25:05.83+01,26
192310,328,27,34,2018-07-23 00:46:14+01,2018-07-23 00:55:06.25+01,26
192580,328,127,28,2018-07-23 02:16:17+01,2018-07-23 02:25:06.4+01,26
192847,328,49,14,2018-07-23 03:46:18+01,2018-07-23 03:55:06.05+01,26
193116,328,126,20,2018-07-23 05:16:18+01,2018-07-23 05:25:06.11+01,26
193389,328,178,47,2018-07-23 06:46:20+01,2018-07-23 06:55:06.75+01,26
193659,328,5,40,2018-07-23 08:16:21+01,2018-07-23 08:25:06.46+01,26
193927,328,7,43,2018-07-23 09:46:21+01,2018-07-23 09:55:06.75+01,26
194188,328,2,28,2018-07-23 11:16:21+01,2018-07-23 11:25:06.01+01,26
194462,328,13,-16,2018-07-23 12:46:22+01,2018-07-23 12:55:06.58+01,26
194729,328,18,-14,2018-07-23 14:16:22+01,2018-07-23 14:25:06.17+01,26
194992,328,23,-10,2018-07-23 15:46:24+01,2018-07-23 15:55:06.37+01,26
195266,328,49,-23,2018-07-23 17:16:24+01,2018-07-23 17:25:07.5+01,26
195534,328,8,-40,2018-07-23 18:46:27+01,2018-07-23 18:55:07.53+01,26
195806,328,6,-75,2018-07-23 20:16:28+01,2018-07-23 20:25:08.33+01,26
196077,328,129,-75,2018-07-23 21:46:31+01,2018-07-23 21:55:07.58+01,26
196338,328,9,-70,2018-07-23 23:16:32+01,2018-07-23 23:25:06+01,26
196599,328,209,-32,2018-07-24 00:46:33+01,2018-07-24 00:55:06.81+01,26
196858,328,12,4,2018-07-24 02:16:34+01,2018-07-24 02:25:06.11+01,26
197118,328,33,4,2018-07-24 03:46:35+01,2018-07-24 03:55:05.98+01,26
197378,328,17,18,2018-07-24 05:16:36+01,2018-07-24 05:25:06.97+01,26
197652,328,8,-5,2018-07-24 06:46:36+01,2018-07-24 07:05:06.36+01,26
197898,328,23,-38,2018-07-24 08:16:37+01,2018-07-24 08:25:06.64+01,26
198158,328,8,-60,2018-07-24 09:46:39+01,2018-07-24 09:55:06.38+01,26
198416,328,9,-69,2018-07-24 11:16:40+01,2018-07-24 11:25:06.76+01,26
198679,328,14,-59,2018-07-24 12:46:40+01,2018-07-24 12:55:06.7+01,26
198939,328,34,-28,2018-07-24 14:16:41+01,2018-07-24 14:25:06.13+01,26
199197,328,66,-8,2018-07-24 15:46:42+01,2018-07-24 15:55:06.66+01,26
199467,328,7,-7,2018-07-24 17:16:42+01,2018-07-24 17:30:07.4+01,26
199723,328,16,-28,2018-07-24 18:46:42+01,2018-07-24 19:00:07.52+01,26
199991,328,22,-64,2018-07-24 20:16:44+01,2018-07-24 20:40:07.73+01,26
200223,328,13,-82,2018-07-24 21:46:44+01,2018-07-24 22:00:07.41+01,26
200467,328,128,-74,2018-07-24 23:16:46+01,2018-07-24 23:30:06.34+01,26
200710,328,109,-53,2018-07-25 00:46:47+01,2018-07-25 01:00:06.65+01,26
200953,328,8,-34,2018-07-25 02:16:47+01,2018-07-25 02:30:06.31+01,26
201195,328,2,-13,2018-07-25 03:46:48+01,2018-07-25 04:00:06.28+01,26
201439,328,47,-26,2018-07-25 05:16:49+01,2018-07-25 05:30:05.95+01,26
201682,328,200,-82,2018-07-25 06:46:50+01,2018-07-25 07:00:06.63+01,26
201925,328,6,-97,2018-07-25 08:16:51+01,2018-07-25 08:30:06.73+01,26
202168,328,4,-95,2018-07-25 09:46:52+01,2018-07-25 10:00:06.28+01,26
202411,328,9,-65,2018-07-25 11:16:54+01,2018-07-25 11:30:05.98+01,26
202655,328,15,-22,2018-07-25 12:46:55+01,2018-07-25 13:00:05.84+01,26
202896,328,17,-4,2018-07-25 14:16:54+01,2018-07-25 14:30:06.49+01,26
203139,328,107,-6,2018-07-25 15:46:56+01,2018-07-25 16:00:07.17+01,26
203392,328,42,-5,2018-07-25 17:16:57+01,2018-07-25 17:40:08.31+01,26
203621,328,52,-10,2018-07-25 18:46:57+01,2018-07-25 19:00:08.36+01,26
204044,328,95,-16,2018-07-25 20:16:57+01,2018-07-25 20:30:07.97+01,26
204610,328,32,-13,2018-07-25 21:46:58+01,2018-07-25 22:00:06.8+01,26
204963,328,7,-8,2018-07-25 23:16:59+01,2018-07-25 23:30:06.27+01,26
205271,328,111,-3,2018-07-26 00:46:58+01,2018-07-26 01:00:06.33+01,26
205586,328,90,-10,2018-07-26 02:16:59+01,2018-07-26 02:30:06.33+01,26
205914,328,21,-7,2018-07-26 03:47:00+01,2018-07-26 04:00:06.81+01,26
206231,328,8,-13,2018-07-26 05:17:01+01,2018-07-26 05:30:06.17+01,26
206535,328,14,-70,2018-07-26 06:47:01+01,2018-07-26 07:00:06.83+01,26
206830,328,131,-89,2018-07-26 08:17:04+01,2018-07-26 08:30:07.66+01,26
207128,328,20,-94,2018-07-26 09:47:05+01,2018-07-26 10:00:06.99+01,26
207435,328,6,-71,2018-07-26 11:17:08+01,2018-07-26 11:30:06.98+01,26
207729,328,15,-12,2018-07-26 12:47:08+01,2018-07-26 13:00:07.69+01,26
208016,328,36,11,2018-07-26 14:17:09+01,2018-07-26 14:30:11.33+01,26
208296,328,122,14,2018-07-26 15:47:10+01,2018-07-26 16:00:08.29+01,26
208562,328,40,17,2018-07-26 17:17:10+01,2018-07-26 17:30:08.61+01,26
208882,328,13,-1,2018-07-26 18:47:11+01,2018-07-26 19:10:08.49+01,26
209147,328,7,-34,2018-07-26 20:17:11+01,2018-07-26 20:30:06.64+01,26
209409,328,101,-46,2018-07-26 21:47:12+01,2018-07-26 21:50:07.03+01,26
209685,328,7,-55,2018-07-26 23:17:13+01,2018-07-26 23:20:07.41+01,26
209954,328,82,-57,2018-07-27 00:47:15+01,2018-07-27 00:50:06.95+01,26
210239,328,97,-35,2018-07-27 02:17:17+01,2018-07-27 02:20:06.44+01,26
210519,328,28,-19,2018-07-27 03:47:17+01,2018-07-27 03:50:07.78+01,26
210795,328,9,-14,2018-07-27 05:17:17+01,2018-07-27 05:20:06.69+01,26
211076,328,64,-55,2018-07-27 06:47:18+01,2018-07-27 06:50:07.21+01,26
211350,328,29,-80,2018-07-27 08:17:21+01,2018-07-27 08:20:06.48+01,26
211636,328,4,-90,2018-07-27 09:47:22+01,2018-07-27 09:50:06.77+01,26
211916,328,3,-74,2018-07-27 11:17:23+01,2018-07-27 11:20:07.63+01,26
212198,328,5,-35,2018-07-27 12:47:25+01,2018-07-27 12:50:07.79+01,26
212471,328,98,-15,2018-07-27 14:17:26+01,2018-07-27 14:20:08.15+01,26
212741,328,108,-6,2018-07-27 15:47:27+01,2018-07-27 15:50:08.94+01,26
213012,328,46,6,2018-07-27 17:17:28+01,2018-07-27 17:20:08.95+01,26
213271,328,125,25,2018-07-27 18:47:29+01,2018-07-27 18:50:06.7+01,26
213552,328,17,13,2018-07-27 20:17:29+01,2018-07-27 20:20:07.08+01,26
213821,328,61,15,2018-07-27 21:47:30+01,2018-07-27 21:50:07.19+01,26
214090,328,36,20,2018-07-27 23:17:30+01,2018-07-27 23:20:07.05+01,26
214360,328,10,-12,2018-07-28 00:47:31+01,2018-07-28 00:50:07.28+01,26
214631,328,47,-21,2018-07-28 02:17:31+01,2018-07-28 02:20:07.36+01,26
214901,328,57,-23,2018-07-28 03:47:33+01,2018-07-28 03:50:06.86+01,26
215171,328,8,-46,2018-07-28 05:17:34+01,2018-07-28 05:20:06.63+01,26
215442,328,38,-87,2018-07-28 06:47:35+01,2018-07-28 06:50:07.39+01,26
215715,328,3,-104,2018-07-28 08:17:35+01,2018-07-28 08:20:06.97+01,26
215984,328,49,-109,2018-07-28 09:47:36+01,2018-07-28 09:50:07.17+01,26
216245,328,6,-82,2018-07-28 11:17:36+01,2018-07-28 11:20:07.12+01,26
216527,328,4,-38,2018-07-28 12:47:36+01,2018-07-28 12:50:07.56+01,26
216795,328,171,-14,2018-07-28 14:17:37+01,2018-07-28 14:20:08.78+01,26
217067,328,10,-13,2018-07-28 15:47:36+01,2018-07-28 15:50:08.49+01,26
217334,328,20,-17,2018-07-28 17:17:37+01,2018-07-28 17:20:08.12+01,26
217601,328,138,-1,2018-07-28 18:47:38+01,2018-07-28 18:50:06.63+01,26
217877,328,10,-42,2018-07-28 20:17:39+01,2018-07-28 20:20:07.36+01,26
218148,328,94,-38,2018-07-28 21:47:41+01,2018-07-28 21:50:06.93+01,26
218417,328,11,-25,2018-07-28 23:17:41+01,2018-07-28 23:20:06.65+01,26
218706,328,3,-43,2018-07-29 00:47:42+01,2018-07-29 01:00:06.36+01,26
218958,328,80,-34,2018-07-29 02:17:42+01,2018-07-29 02:20:07.25+01,26
219231,328,83,-35,2018-07-29 03:47:43+01,2018-07-29 03:50:07.29+01,26
219498,328,27,-48,2018-07-29 05:17:44+01,2018-07-29 05:20:07.36+01,26
219767,328,6,-79,2018-07-29 06:47:44+01,2018-07-29 06:50:07.01+01,26
220037,328,141,-80,2018-07-29 08:17:44+01,2018-07-29 08:20:06.56+01,26
220308,328,18,-76,2018-07-29 09:47:46+01,2018-07-29 09:50:07.07+01,26
220568,328,6,-53,2018-07-29 11:17:48+01,2018-07-29 11:20:06.87+01,26
220848,328,9,-5,2018-07-29 12:47:51+01,2018-07-29 12:50:06.73+01,26
221120,328,25,-6,2018-07-29 14:17:51+01,2018-07-29 14:20:07.31+01,26
221387,328,18,-16,2018-07-29 15:47:52+01,2018-07-29 15:50:08.65+01,26
221658,328,9,-29,2018-07-29 17:17:52+01,2018-07-29 17:20:08.64+01,26
221920,328,39,-65,2018-07-29 18:47:52+01,2018-07-29 18:50:07.48+01,26
222195,328,49,-86,2018-07-29 20:17:54+01,2018-07-29 20:20:07.89+01,26
222476,328,7,-91,2018-07-29 21:47:54+01,2018-07-29 21:55:06.77+01,26
222747,328,30,-86,2018-07-29 23:17:54+01,2018-07-29 23:25:06.58+01,26
223014,328,39,-59,2018-07-30 00:47:55+01,2018-07-30 00:55:06.28+01,26
223300,328,38,-53,2018-07-30 02:17:56+01,2018-07-30 02:35:06.26+01,26
223557,328,78,-32,2018-07-30 03:47:57+01,2018-07-30 03:55:06.63+01,26
223827,328,7,-37,2018-07-30 05:17:58+01,2018-07-30 05:25:06.44+01,26
224096,328,4,-82,2018-07-30 06:47:59+01,2018-07-30 06:55:06.12+01,26
224365,328,34,-92,2018-07-30 08:18:01+01,2018-07-30 08:25:06.72+01,26
224637,328,8,-107,2018-07-30 09:48:01+01,2018-07-30 09:55:06.14+01,26
224897,328,11,-89,2018-07-30 11:18:01+01,2018-07-30 11:25:06.46+01,26
225160,328,12,-39,2018-07-30 12:48:02+01,2018-07-30 12:55:06.91+01,26
225418,328,37,-26,2018-07-30 14:18:03+01,2018-07-30 14:25:07.76+01,26
225694,328,95,-16,2018-07-30 15:48:05+01,2018-07-30 16:05:08.21+01,26
225919,328,14,-14,2018-07-30 17:18:05+01,2018-07-30 17:25:08.12+01,26
226155,328,12,-38,2018-07-30 18:48:06+01,2018-07-30 18:55:09.7+01,26
226384,328,15,-60,2018-07-30 20:18:07+01,2018-07-30 20:25:07+01,26
226612,328,105,-71,2018-07-30 21:48:07+01,2018-07-30 21:55:06.79+01,26
226845,328,15,-76,2018-07-30 23:18:08+01,2018-07-30 23:25:06.27+01,26
227075,328,175,-41,2018-07-31 00:48:09+01,2018-07-31 00:55:06.48+01,26
227316,328,30,-16,2018-07-31 02:18:09+01,2018-07-31 02:25:05.99+01,26
227550,328,9,-3,2018-07-31 03:48:09+01,2018-07-31 03:55:06.67+01,26
227783,328,43,-2,2018-07-31 05:18:09+01,2018-07-31 05:25:06.87+01,26
228013,328,25,-57,2018-07-31 06:48:11+01,2018-07-31 06:55:05.99+01,26
228244,328,7,-88,2018-07-31 08:18:11+01,2018-07-31 08:25:06.1+01,26
228471,328,35,-91,2018-07-31 09:48:14+01,2018-07-31 09:55:06.3+01,26
228699,328,3,-79,2018-07-31 11:18:15+01,2018-07-31 11:25:06.54+01,26
228929,328,15,-33,2018-07-31 12:48:18+01,2018-07-31 12:55:07.05+01,26
229158,328,45,-16,2018-07-31 14:18:19+01,2018-07-31 14:25:07.65+01,26
229383,328,46,-18,2018-07-31 15:48:20+01,2018-07-31 15:55:08.38+01,26
229615,328,40,-15,2018-07-31 17:18:23+01,2018-07-31 17:25:07.91+01,26
229840,328,33,-33,2018-07-31 18:48:26+01,2018-07-31 18:55:07.52+01,26
230072,328,15,-53,2018-07-31 20:18:25+01,2018-07-31 20:25:06.31+01,26
230301,328,124,-52,2018-07-31 21:48:26+01,2018-07-31 21:55:06.11+01,26
230530,328,29,-51,2018-07-31 23:18:27+01,2018-07-31 23:25:06.8+01,26
230757,328,15,-28,2018-08-01 00:48:27+01,2018-08-01 00:55:06.17+01,26
230986,328,14,-15,2018-08-01 02:18:29+01,2018-08-01 02:25:06.43+01,26
231215,328,214,-12,2018-08-01 03:48:30+01,2018-08-01 03:55:06.19+01,26
231442,328,11,-21,2018-08-01 05:18:30+01,2018-08-01 05:25:06.46+01,26
231670,328,8,-20,2018-08-01 06:48:30+01,2018-08-01 06:55:05.93+01,26
231897,328,50,-2,2018-08-01 08:18:31+01,2018-08-01 08:25:06.79+01,26
232126,328,15,-13,2018-08-01 09:48:32+01,2018-08-01 09:55:05.92+01,26
232352,328,19,-14,2018-08-01 11:18:33+01,2018-08-01 11:25:06.64+01,26
232583,328,7,-14,2018-08-01 12:48:32+01,2018-08-01 12:55:07.06+01,26
232810,328,16,-16,2018-08-01 14:18:33+01,2018-08-01 14:25:07.72+01,26
233033,328,102,-12,2018-08-01 15:48:34+01,2018-08-01 15:55:08.41+01,26
233265,328,20,-17,2018-08-01 17:18:35+01,2018-08-01 17:25:08.16+01,26
233484,328,118,-34,2018-08-01 18:48:37+01,2018-08-01 18:55:07.46+01,26
233903,328,29,-38,2018-08-01 20:18:38+01,2018-08-01 20:25:06.19+01,26
234324,328,53,-38,2018-08-01 21:48:38+01,2018-08-01 21:55:07.66+01,26
234727,328,59,-23,2018-08-01 23:18:40+01,2018-08-01 23:25:07.71+01,26
235126,328,23,-3,2018-08-02 00:48:41+01,2018-08-02 00:55:06.54+01,26
235555,328,114,10,2018-08-02 02:18:41+01,2018-08-02 02:25:06.63+01,26
235916,328,47,14,2018-08-02 03:48:42+01,2018-08-02 03:55:06.78+01,26
236332,328,31,-1,2018-08-02 05:18:41+01,2018-08-02 05:25:06.1+01,26
236746,328,10,8,2018-08-02 06:48:45+01,2018-08-02 07:05:06.61+01,26
237062,328,7,4,2018-08-02 08:18:46+01,2018-08-02 08:25:07.09+01,26
237390,328,8,-16,2018-08-02 09:48:46+01,2018-08-02 09:55:08.79+01,26
237735,328,4,-31,2018-08-02 11:18:46+01,2018-08-02 11:25:08.82+01,26
238059,328,101,-37,2018-08-02 12:48:46+01,2018-08-02 12:55:08.07+01,26
238392,328,73,-20,2018-08-02 14:18:47+01,2018-08-02 14:25:07.4+01,26
238719,328,24,-7,2018-08-02 15:48:48+01,2018-08-02 15:55:06.55+01,26
239255,328,233,27,2018-08-02 17:18:49+01,2018-08-02 17:25:09.07+01,26
239782,328,4,11,2018-08-02 18:48:51+01,2018-08-02 18:55:06.02+01,26
240160,328,14,-13,2018-08-02 20:18:51+01,2018-08-02 20:25:06.99+01,26
240475,328,180,-11,2018-08-02 21:48:53+01,2018-08-02 21:55:06.7+01,26
240760,328,6,-47,2018-08-02 23:18:53+01,2018-08-02 23:25:06.05+01,26
241046,328,19,-30,2018-08-03 00:48:53+01,2018-08-03 00:55:06.15+01,26
241322,328,137,-6,2018-08-03 02:18:54+01,2018-08-03 02:25:06.25+01,26
241598,328,16,-23,2018-08-03 03:48:56+01,2018-08-03 03:55:06.42+01,26
241864,328,11,-27,2018-08-03 05:18:56+01,2018-08-03 05:25:06.59+01,26
242122,328,3,-23,2018-08-03 06:48:57+01,2018-08-03 06:55:06.23+01,26
242381,328,11,-32,2018-08-03 08:18:59+01,2018-08-03 08:25:06.16+01,26
242641,328,35,-39,2018-08-03 09:49:01+01,2018-08-03 09:55:06.75+01,26
242899,328,8,-43,2018-08-03 11:19:00+01,2018-08-03 11:25:07.42+01,26
243161,328,17,-40,2018-08-03 12:49:03+01,2018-08-03 12:55:07.93+01,26
243420,328,48,-20,2018-08-03 14:19:03+01,2018-08-03 14:25:08.68+01,26
243937,328,83,-11,2018-08-03 15:49:04+01,2018-08-03 15:55:08.55+01,26
244338,328,7,-10,2018-08-03 17:19:05+01,2018-08-03 17:25:07.57+01,26
244646,328,116,-26,2018-08-03 18:49:07+01,2018-08-03 19:00:07.52+01,26
244931,328,168,-28,2018-08-03 20:19:10+01,2018-08-03 20:30:06.39+01,26
245213,328,47,-21,2018-08-03 21:49:11+01,2018-08-03 22:00:07.39+01,26
245496,328,30,2,2018-08-03 23:19:11+01,2018-08-03 23:30:06.42+01,26
245777,328,28,34,2018-08-04 00:49:12+01,2018-08-04 01:00:06.8+01,26
246060,328,137,24,2018-08-04 02:19:12+01,2018-08-04 02:30:06.07+01,26
246341,328,14,8,2018-08-04 03:49:13+01,2018-08-04 04:00:06.92+01,26
246624,328,12,-9,2018-08-04 05:19:16+01,2018-08-04 05:30:06.94+01,26
246932,328,10,-24,2018-08-04 06:49:17+01,2018-08-04 07:10:06.47+01,26
247187,328,0,-29,2018-08-04 08:19:17+01,2018-08-04 08:30:08.81+01,26
247470,328,38,-39,2018-08-04 09:49:19+01,2018-08-04 10:00:07.54+01,26
247750,328,2,-47,2018-08-04 11:19:20+01,2018-08-04 11:30:08.14+01,26
248032,328,9,-51,2018-08-04 12:49:21+01,2018-08-04 13:00:08.34+01,26
248315,328,175,-20,2018-08-04 14:19:22+01,2018-08-04 14:30:07.49+01,26
248594,328,21,-12,2018-08-04 15:49:23+01,2018-08-04 16:00:07.73+01,26
248876,328,3,-44,2018-08-04 17:19:24+01,2018-08-04 17:30:06.72+01,26
249160,328,54,-46,2018-08-04 18:49:25+01,2018-08-04 19:00:06.33+01,26
249443,328,173,-55,2018-08-04 20:19:25+01,2018-08-04 20:30:06.24+01,26
249723,328,22,-59,2018-08-04 21:49:27+01,2018-08-04 22:00:06.52+01,26
250007,328,59,-41,2018-08-04 23:19:28+01,2018-08-04 23:30:06.86+01,26
250290,328,11,-6,2018-08-05 00:49:31+01,2018-08-05 01:00:06.44+01,26
250572,328,22,-13,2018-08-05 02:19:32+01,2018-08-05 02:30:06.63+01,26
250854,328,58,-21,2018-08-05 03:49:32+01,2018-08-05 04:00:06.23+01,26
251135,328,4,-39,2018-08-05 05:19:33+01,2018-08-05 05:30:06.76+01,26
251417,328,14,-55,2018-08-05 06:49:34+01,2018-08-05 07:00:06.23+01,26
251701,328,6,-42,2018-08-05 08:19:36+01,2018-08-05 08:30:07.63+01,26
251980,328,15,-49,2018-08-05 09:49:37+01,2018-08-05 10:00:07.52+01,26
252260,328,37,-44,2018-08-05 11:19:38+01,2018-08-05 11:30:08.24+01,26
252546,328,87,-33,2018-08-05 12:49:40+01,2018-08-05 13:00:09.08+01,26
252829,328,20,-2,2018-08-05 14:19:41+01,2018-08-05 14:30:08.76+01,26
253110,328,45,17,2018-08-05 15:49:41+01,2018-08-05 16:00:08.42+01,26
253393,328,183,2,2018-08-05 17:19:41+01,2018-08-05 17:30:07.57+01,26
253670,328,18,-6,2018-08-05 18:49:42+01,2018-08-05 19:00:06.43+01,26
253955,328,4,-5,2018-08-05 20:19:44+01,2018-08-05 20:30:06.38+01,26
254239,328,72,-18,2018-08-05 21:49:45+01,2018-08-05 22:00:06.87+01,26
254519,328,36,-59,2018-08-05 23:19:47+01,2018-08-05 23:30:06.44+01,26
254801,328,116,-67,2018-08-06 00:49:47+01,2018-08-06 01:00:06.33+01,26
255082,328,58,-38,2018-08-06 02:19:49+01,2018-08-06 02:30:06.18+01,26
255364,328,15,-25,2018-08-06 03:49:49+01,2018-08-06 04:00:06.18+01,26
255645,328,35,3,2018-08-06 05:19:50+01,2018-08-06 05:30:06.93+01,26
255929,328,39,-1,2018-08-06 06:49:49+01,2018-08-06 07:00:06.48+01,26
256210,328,7,-6,2018-08-06 08:19:51+01,2018-08-06 08:30:09.68+01,26
256491,328,22,-12,2018-08-06 09:49:52+01,2018-08-06 10:00:07.55+01,26
256773,328,25,-21,2018-08-06 11:19:52+01,2018-08-06 11:30:08.99+01,26
257058,328,49,-21,2018-08-06 12:49:51+01,2018-08-06 13:00:08.45+01,26
257337,328,13,1,2018-08-06 14:19:54+01,2018-08-06 14:30:08.13+01,26
257616,328,108,9,2018-08-06 15:49:54+01,2018-08-06 16:00:08.7+01,26
257894,328,67,-18,2018-08-06 17:19:55+01,2018-08-06 17:30:07.26+01,26
258172,328,357,2,2018-08-06 18:49:57+01,2018-08-06 19:00:06.87+01,26
258452,328,84,59,2018-08-06 20:19:58+01,2018-08-06 20:30:07.06+01,26
258730,328,103,95,2018-08-06 21:49:59+01,2018-08-06 22:00:07.57+01,26
259010,328,209,142,2018-08-06 23:19:59+01,2018-08-06 23:30:06.58+01,26
259287,328,35,138,2018-08-07 00:49:59+01,2018-08-07 01:00:06.72+01,26
259564,328,120,136,2018-08-07 02:20:00+01,2018-08-07 02:30:07.54+01,26
259843,328,100,133,2018-08-07 03:50:00+01,2018-08-07 04:00:07.03+01,26
260122,328,245,116,2018-08-07 05:20:01+01,2018-08-07 05:30:07.13+01,26
260419,328,57,128,2018-08-07 06:50:02+01,2018-08-07 07:10:07.89+01,26
260676,328,20,137,2018-08-07 08:20:02+01,2018-08-07 08:30:13.94+01,26
260957,328,8,129,2018-08-07 09:50:01+01,2018-08-07 10:00:08.71+01,26
261231,328,27,92,2018-08-07 11:20:03+01,2018-08-07 11:30:09.14+01,26
261514,328,114,51,2018-08-07 12:50:03+01,2018-08-07 13:00:08.85+01,26
261793,328,302,50,2018-08-07 14:20:04+01,2018-08-07 14:30:08.26+01,26
