datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Blood(%),Avg_Blood(%),Milking_Time(seconds),Avg_Milking_Time(seconds),SCC(*1000/ml),Avg_SCC(*1000/ml),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr)
13/03/2018,26,23,2,318,Milk,Pregnant,33905,1412,0,0,0,0,0,0,10.5,10.5,0,0,192,191,0,0,167,7,7,104,50,21,730,0
13/03/2018,86,6,1,242,Milk,Pregnant,37165,1548,0,0,0,0,0,0,9.5,9.2,0,0,195,181,0,0,139,8,-1,-1,-1,-1,-1,0
13/03/2018,2714,6,1,240,Milk,Pregnant,36905,1537,0,0,0,0,0,0,9.7,9.2,0,0,176,168,0,0,177,7,-1,-1,-1,-1,-1,0
14/03/2018,26,23,2,319,Milk,Pregnant,45092,1878,0,0,0,0,0,0,11.1,10.4,0,0,239,190,0,0,162,26,9,62,38,32,561,0
14/03/2018,86,6,1,243,Milk,Pregnant,39235,1634,0,0,0,0,0,0,9.3,9.2,0,0,195,179,0,0,121,8,-1,-1,-1,-1,-1,0
14/03/2018,2714,6,1,241,Milk,Pregnant,43320,1805,0,0,0,0,0,0,9.2,9.3,0,0,203,167,0,0,169,10,-1,-1,-1,-1,-1,0
15/03/2018,26,23,2,320,Milk,Pregnant,29275,1219,0,0,0,0,0,0,10.8,10.4,0,0,187,188,0,0,180,30,10,78,55,19,781,0
15/03/2018,86,6,1,244,Milk,Pregnant,31952,1331,0,0,0,0,0,0,9.5,9.2,0,0,189,180,0,0,132,27,-1,-1,-1,-1,-1,0
15/03/2018,2714,6,1,242,Milk,Pregnant,36441,1518,0,0,0,0,0,0,9.3,9.2,0,0,173,166,0,0,159,1,-1,-1,-1,-1,-1,0
16/03/2018,26,23,2,321,Milk,Pregnant,34660,1444,0,0,0,0,0,0,13.9,10.4,0,0,231,190,0,0,154,36,9,70,45,26,634,0
